Emotion,Time Step
neutral,35.0
neutral,35.04
sad,35.08
neutral,35.12
neutral,35.16
neutral,35.2
neutral,35.24
neutral,35.28
neutral,35.32
neutral,35.36
sad,35.4
neutral,35.44
neutral,35.48
neutral,35.52
neutral,35.56
neutral,35.6
sad,35.64
sad,35.68
sad,35.72
sad,35.76
sad,35.8
sad,35.84
neutral,35.88
sad,35.92
neutral,35.96
sad,36.0
sad,36.04
sad,36.08
neutral,36.12
neutral,36.16
neutral,36.2
neutral,36.24
neutral,36.28
sad,36.32
angry,36.36
happy,36.4
angry,36.44
sad,36.48
happy,36.52
happy,36.56
happy,36.6
sad,36.64
sad,36.68
sad,36.72
happy,36.76
sad,36.8
happy,36.84
happy,36.88
happy,36.92
happy,36.96
happy,37.08
sad,37.12
sad,37.16
sad,37.2
angry,37.24
angry,37.28
angry,37.32
sad,37.36
angry,37.4
sad,37.44
sad,37.48
sad,37.52
sad,37.56
angry,37.6
happy,37.64
happy,37.68
sad,37.72
happy,37.76
sad,37.8
angry,37.84
happy,37.88
happy,37.92
angry,37.96
angry,38.0
angry,38.04
happy,38.08
angry,38.12
happy,38.16
sad,38.2
sad,38.24
sad,38.28
sad,38.32
sad,38.44
happy,38.48
happy,38.52
neutral,38.56
fear,38.6
sad,38.64
sad,38.68
sad,38.72
sad,38.76
sad,38.8
sad,38.84
sad,38.88
sad,38.92
sad,38.96
sad,39.0
sad,39.04
happy,39.08
neutral,39.12
neutral,39.16
sad,39.2
sad,39.24
sad,39.28
sad,39.32
sad,39.4
sad,39.44
sad,39.48
sad,39.52
sad,39.56
sad,39.6
sad,39.64
sad,39.68
sad,39.72
sad,39.76
sad,39.8
sad,39.84
sad,39.88
sad,39.92
sad,39.96
sad,40.0
sad,40.04
sad,40.08
sad,40.12
sad,40.16
sad,40.2
sad,40.24
angry,40.24
sad,40.28
neutral,40.28
sad,40.32
neutral,40.32
sad,40.36
angry,40.36
sad,40.4
neutral,40.4
angry,40.4
sad,40.44
angry,40.44
sad,40.44
sad,40.48
angry,40.48
sad,40.48
sad,40.52
neutral,40.52
angry,40.52
sad,40.56
angry,40.56
sad,40.56
sad,40.56
sad,40.6
neutral,40.6
sad,40.64
sad,40.64
sad,40.68
sad,40.68
sad,40.72
sad,40.76
sad,40.8
sad,40.84
sad,40.88
sad,40.92
sad,40.96
sad,41.0
neutral,41.0
sad,41.04
sad,41.04
sad,41.08
sad,41.12
happy,41.12
sad,41.12
happy,41.16
sad,41.2
sad,41.24
sad,41.28
sad,41.32
sad,41.36
happy,41.44
sad,41.48
sad,41.52
sad,41.56
sad,41.6
sad,41.64
sad,41.68
sad,41.72
sad,41.76
sad,41.8
sad,41.84
sad,41.88
sad,41.88
sad,41.92
sad,41.92
sad,41.96
sad,42.0
sad,42.04
sad,42.08
sad,42.12
sad,42.16
sad,42.28
sad,42.4
angry,42.4
sad,42.44
sad,42.48
sad,42.52
sad,42.56
happy,42.6
sad,42.68
happy,42.72
sad,42.76
sad,42.8
sad,42.84
sad,42.88
sad,42.92
sad,42.96
sad,42.96
sad,43.0
sad,43.8
sad,43.96
sad,44.0
sad,44.04
sad,44.08
sad,44.12
sad,44.16
sad,44.16
sad,44.2
sad,44.52
sad,44.56
sad,44.6
sad,44.64
sad,44.68
sad,44.72
sad,44.76
sad,44.8
sad,44.84
sad,44.88
sad,44.96
sad,45.0
sad,45.04
sad,45.08
sad,45.12
sad,45.16
sad,45.2
sad,45.24
sad,45.28
sad,45.32
sad,45.36
happy,45.4
happy,45.44
sad,45.48
happy,45.52
happy,45.56
happy,45.6
happy,45.64
happy,45.68
sad,45.72
happy,45.76
happy,45.8
sad,45.84
happy,45.88
sad,45.92
happy,45.96
sad,46.0
happy,46.04
happy,46.08
happy,46.12
happy,46.16
sad,46.2
sad,46.24
sad,46.28
sad,46.32
sad,46.36
sad,46.4
sad,46.44
sad,46.48
sad,46.52
sad,46.56
sad,46.6
sad,46.64
sad,46.68
happy,46.72
sad,46.76
sad,46.8
happy,46.84
sad,46.88
sad,46.92
sad,46.96
sad,47.0
sad,47.04
sad,47.08
sad,47.12
sad,47.16
sad,47.2
sad,47.24
sad,47.28
sad,47.32
sad,47.36
sad,47.4
sad,47.44
sad,47.48
sad,47.52
sad,47.56
happy,47.6
sad,47.64
happy,47.68
happy,47.72
sad,47.76
sad,47.8
sad,47.84
sad,47.88
sad,47.92
sad,47.96
sad,48.0
sad,48.04
sad,48.08
sad,48.12
sad,48.16
sad,48.2
sad,48.24
sad,48.28
sad,48.32
sad,48.36
sad,48.4
sad,48.44
sad,48.48
sad,48.52
sad,48.56
sad,48.6
sad,48.64
sad,48.68
sad,48.72
sad,48.76
sad,48.8
sad,48.84
sad,48.88
sad,48.92
sad,48.96
sad,49.0
sad,49.16
sad,49.2
sad,49.24
happy,49.28
happy,49.32
happy,49.36
sad,49.72
happy,49.76
happy,49.8
happy,49.84
sad,49.88
sad,49.92
sad,49.96
sad,50.0
sad,50.04
sad,50.08
sad,50.12
sad,50.16
sad,50.2
sad,50.24
sad,50.28
sad,50.32
sad,50.36
sad,50.4
sad,50.44
sad,50.48
sad,50.52
sad,50.56
sad,50.6
sad,50.64
sad,50.68
sad,50.72
sad,50.76
sad,50.92
sad,51.2
sad,51.24
sad,51.28
sad,51.32
sad,51.36
sad,51.4
sad,51.44
sad,51.48
sad,51.52
sad,51.56
sad,51.6
sad,51.64
sad,51.68
angry,51.68
sad,51.72
sad,51.76
sad,51.8
sad,51.88
sad,51.88
sad,51.92
sad,51.92
sad,51.96
sad,51.96
sad,52.0
sad,52.0
sad,52.04
sad,52.08
sad,52.16
sad,52.2
sad,52.2
sad,52.24
sad,52.28
sad,52.32
sad,52.36
sad,52.4
sad,52.44
sad,52.48
sad,52.52
sad,52.56
sad,52.6
sad,52.64
sad,52.68
sad,52.72
sad,52.76
sad,52.8
sad,52.84
sad,52.88
sad,52.92
sad,52.96
sad,53.0
sad,53.04
sad,53.08
sad,53.12
sad,53.16
sad,53.2
sad,53.24
sad,53.28
sad,53.32
sad,53.36
sad,53.4
sad,53.44
sad,53.48
