Timestamp,X_AXIS_CHEAT,Y_AXIS_CHEAT,audio,Emotion,y_actual
33000,0,1,0,angry,
33040,0,1,0,neutral,
33080,0,1,0,sad,
33120,0,1,0,angry,
33160,1,1,0,sad,
33200,1,1,0,angry,
33240,1,1,0,sad,
33280,1,1,0,sad,
33320,1,1,1,sad,
33360,0,1,0,angry,
33400,0,1,0,sad,
33440,0,1,0,neutral,
33480,0,1,0,neutral,
33520,0,1,0,sad,
33560,0,1,0,sad,
33600,0,1,0,sad,
33640,0,1,0,sad,
33960,0,1,0,sad,
34000,0,1,0,sad,
34040,0,1,0,sad,
34080,0,1,0,neutral,
34120,0,1,0,angry,
34160,0,1,0,angry,
34200,0,1,0,angry,
34240,0,1,0,angry,
34280,0,1,0,sad,
34320,0,1,0,sad,
34360,0,1,0,sad,
34400,0,1,0,sad,
34440,0,1,0,sad,
34480,0,1,0,neutral,
34520,0,1,0,neutral,
34560,0,1,0,sad,
34600,0,1,0,sad,
34640,0,1,0,sad,
34680,0,1,0,sad,
34720,0,1,0,sad,
34760,0,0,0,sad,
34800,0,1,0,sad,
34840,0,1,0,angry,
34880,0,1,0,neutral,
34920,0,1,0,angry,
34960,0,1,0,sad,
35000,0,1,0,angry,
35040,0,1,0,sad,
35080,0,1,0,angry,
35120,0,1,0,sad,
35160,0,1,0,sad,
35200,0,1,0,sad,
35240,0,0,0,sad,
35280,0,0,0,sad,
35320,1,0,0,neutral,
35360,1,0,0,sad,
35400,1,0,1,sad,
35440,1,0,0,sad,
35480,1,0,0,sad,
35520,1,1,0,sad,
35560,1,1,0,neutral,
35600,1,1,1,sad,
35640,0,1,0,angry,
35680,1,1,0,sad,
35720,0,1,0,sad,
35760,0,0,0,sad,
35800,0,1,0,sad,
35840,0,1,0,sad,
35880,0,1,0,sad,
35920,0,1,0,angry,
35960,0,1,0,sad,
36000,0,1,0,sad,
36040,0,1,0,angry,
36080,0,1,0,neutral,
36120,0,1,0,neutral,
36160,0,1,0,angry,
36200,0,1,0,neutral,
36240,0,1,0,neutral,
36280,0,1,1,neutral,
36320,0,1,1,neutral,
36360,0,1,0,neutral,
36400,0,0,0,neutral,
36440,0,0,0,neutral,
36480,0,0,0,neutral,
36520,0,0,0,neutral,
36560,0,0,0,neutral,
36600,0,0,0,neutral,
36640,0,0,1,sad,
36680,0,1,0,neutral,
36720,0,0,1,neutral,
36760,0,0,0,neutral,
36800,0,1,1,neutral,
36840,0,0,0,neutral,
36880,0,0,0,neutral,
36920,0,0,0,neutral,
36960,0,1,1,neutral,
37000,0,0,1,neutral,
37040,0,0,0,neutral,
37080,0,0,1,neutral,
37120,0,0,1,angry,
37160,0,0,1,neutral,
37200,0,0,1,neutral,
37240,0,0,1,sad,
37280,0,0,0,sad,
37320,0,0,0,sad,
37360,0,0,1,sad,
37400,0,0,0,sad,
37440,0,0,0,sad,
37480,0,0,0,neutral,
37520,0,0,1,sad,
37560,0,0,0,angry,
37600,0,0,0,sad,
37640,0,0,0,sad,
37680,0,0,1,angry,
37720,0,0,1,angry,
37760,0,0,1,sad,
37800,0,0,1,angry,
37840,0,0,1,sad,
37880,0,0,1,sad,
37920,0,0,1,sad,
37960,0,0,1,sad,
38000,0,0,0,sad,
38040,0,0,1,sad,
38080,0,0,0,sad,
38120,0,0,0,sad,
38160,0,0,0,neutral,
38200,0,0,0,angry,
38240,0,0,1,sad,
38280,0,0,1,sad,
38320,0,0,1,angry,
38360,0,0,1,angry,
38400,0,0,1,angry,
38440,0,0,1,sad,
38480,0,0,0,sad,
38520,0,0,0,neutral,
38560,0,0,0,sad,
38600,0,0,0,neutral,
38640,0,0,1,sad,
38680,0,0,0,neutral,
38720,0,0,0,sad,
38760,0,0,0,sad,
38800,0,0,1,angry,
38840,0,0,0,angry,
38880,0,0,0,sad,
38920,0,0,0,sad,
38960,0,0,0,sad,
39000,0,0,0,sad,
39040,0,0,1,sad,
39080,0,0,0,sad,
39120,0,0,0,angry,
39160,0,0,1,sad,
39200,0,0,1,sad,
39240,0,0,0,sad,
39280,0,0,0,sad,
39320,0,0,0,sad,
39360,0,0,0,sad,
39400,0,0,0,sad,
39440,0,0,1,sad,
39480,0,0,0,angry,
39520,0,0,0,sad,
39560,0,0,0,sad,
39600,0,0,0,fear,
39640,0,0,0,sad,
39680,0,0,0,sad,
39720,0,0,0,sad,
39760,0,0,0,sad,
39800,0,0,0,sad,
39840,0,0,0,sad,
39880,0,0,0,neutral,
39920,0,0,1,sad,
39960,0,0,0,neutral,
40000,0,0,0,neutral,
40040,0,0,0,neutral,
40080,0,0,0,neutral,
40120,0,0,0,neutral,
40160,0,0,1,neutral,
40200,0,0,0,neutral,
40240,0,0,0,neutral,
40280,1,0,0,neutral,
40320,1,0,0,neutral,
40360,0,0,0,neutral,
40400,1,0,0,sad,
40440,1,0,0,sad,
40480,0,0,0,neutral,
40520,1,0,0,sad,
40560,1,0,0,sad,
40600,0,0,0,sad,
40640,0,0,0,neutral,
40680,1,0,0,sad,
40720,0,0,0,neutral,
40760,1,0,0,sad,
40800,0,0,0,neutral,
40840,0,0,0,neutral,
40880,0,0,0,sad,
